periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_sin_cobertura,tasa_concurso_vacantes,stale_meses,meses_sin_nombramiento,cobertura_estimada
2023-01,0.2568,0.7432,0.0901,0.1635,0.9347,17,2,0
2023-02,0.2568,0.7432,0.0901,0.1635,0.9347,18,3,0
2023-03,0.2568,0.7432,0.0901,0.1635,0.9347,19,4,0
2023-04,0.2568,0.7432,0.0901,0.1635,0.9347,20,0,0
2023-05,0.2568,0.7432,0.0901,0.1635,0.9347,21,1,0
2023-06,0.2568,0.7432,0.0901,0.1635,0.9347,22,2,0
2023-07,0.2568,0.7432,0.0901,0.1635,0.9347,23,3,0
2023-08,0.2568,0.7432,0.0901,0.1635,0.9347,24,4,0
2023-09,0.2568,0.7432,0.0901,0.1635,0.9347,25,5,0
2023-10,0.2568,0.7432,0.0901,0.1635,0.9347,26,0,0
2023-11,0.2568,0.7432,0.0901,0.1635,0.9347,27,0,0
2023-12,0.2568,0.7432,0.0901,0.1635,0.9347,28,1,0
2024-01,0.2568,0.7432,0.0901,0.1635,0.9347,29,2,0
2024-02,0.2568,0.7432,0.0901,0.1635,0.9347,30,3,0
2024-03,0.2568,0.7432,0.0901,0.1635,0.9347,31,4,0
2024-04,0.2792,0.7177,0.226,0.0531,0.9366,0,5,0
2024-05,0.2792,0.7177,0.226,0.0531,0.9366,1,6,0
2024-06,0.2792,0.7177,0.226,0.0531,0.9366,2,7,0
2024-07,0.2792,0.7177,0.226,0.0531,0.9366,3,8,0
2024-08,0.2792,0.7177,0.226,0.0531,0.9366,4,9,0
2024-09,0.2792,0.7177,0.226,0.0531,0.9366,5,10,0
2024-10,0.2792,0.7177,0.226,0.0531,0.9366,6,11,0
2024-11,0.2792,0.7177,0.226,0.0531,0.9366,7,12,0
2024-12,0.2792,0.7177,0.226,0.0531,0.9366,8,13,0
2025-01,0.2792,0.7177,0.226,0.0531,0.9366,9,14,0
2025-02,0.2792,0.7177,0.226,0.0531,0.9366,10,15,0
2025-03,0.2792,0.7177,0.226,0.0531,0.9366,11,16,0
2025-04,0.2792,0.7177,0.226,0.0531,0.9366,12,17,0
2025-05,0.2792,0.7177,0.226,0.0531,0.9366,13,18,0
2025-06,0.2792,0.7177,0.226,0.0531,0.9366,14,19,0
2025-07,0.2792,0.7177,0.226,0.0531,0.9366,15,20,0
2025-08,0.2792,0.7177,0.226,0.0531,0.9366,16,21,0
2025-09,0.2792,0.7177,0.226,0.0531,0.9366,17,22,0
2025-10,0.2792,0.7177,0.226,0.0531,0.9366,18,23,0
2025-11,0.2792,0.7177,0.226,0.0531,0.9366,19,24,0
2025-12,0.2792,0.7177,0.226,0.0531,0.9366,20,25,0
2026-01,0.2792,0.7177,0.226,0.0531,0.9366,21,26,0
2026-02,0.2792,0.7177,0.226,0.0531,0.9366,22,27,0
2026-03,0.2792,0.7177,0.226,0.0531,0.9366,23,28,0
2026-04,0.2792,0.7177,0.226,0.0531,0.9366,24,29,0
2026-05,0.2792,0.7177,0.226,0.0531,0.9366,25,30,0
2026-06,0.3613,0.6325,0.2953,0.0723,1.0,0,0,0
2026-07,0.3613,0.6325,0.2953,0.0723,1.0,1,0,0
2026-08,0.3613,0.6995,0.2366,0.0607,1.0,2,1,1
